timestamp,tp9,af7,af8,tp10,hr
1729906382.187,-180.664,104.492,-5.371,-684.570,0.000
1729906382.191,-1000.000,-1000.000,-623.047,883.789,0.000
1729906381.062,-10.742,-95.703,-446.289,664.062,0.000
1729906381.066,462.891,692.871,-56.152,-891.113,0.000
1729906381.070,-915.039,-698.730,-436.523,-1000.000,0.000
1729906381.074,-1000.000,-1000.000,-753.906,260.742,0.000
1729906381.078,-306.152,-692.383,-596.191,-817.871,0.000
1729906381.082,576.172,420.898,-216.309,-135.254,0.000
1729906381.086,-748.047,-422.852,-403.809,-1000.000,0.000
1729906381.090,-1000.000,-1000.000,-669.922,-220.215,0.000
1729906381.093,-907.227,-1000.000,-657.227,-816.406,0.000
1729906381.097,475.098,83.984,-399.414,232.910,0.000
1729906381.101,8.789,143.555,-327.148,-1000.000,0.000
1729906381.105,-1000.000,-1000.000,-603.516,-270.996,0.000
1729906381.109,-1000.000,-1000.000,-645.020,-813.477,0.000
1729906381.113,281.250,14.160,-298.340,459.473,0.000
1729906381.117,392.090,548.340,73.730,-1000.000,0.000
1729906381.121,-1000.000,-883.789,-405.762,-644.043,0.000
1729906381.125,-1000.000,-1000.000,-665.039,959.961,0.000
1729906381.129,-119.629,-180.664,-419.922,908.691,0.000
1729906381.133,543.457,832.520,1.465,-594.238,0.000
1729906381.136,-809.082,-472.656,-329.102,-1000.000,0.000
1729906381.140,-1000.000,-1000.000,-622.559,206.543,0.000
1729906381.144,-319.336,-652.344,-528.320,-778.320,0.000
1729906381.148,977.539,805.664,-75.195,68.848,0.000
1729906381.152,-246.582,36.133,-184.082,-1000.000,0.000
1729906381.156,-1000.000,-1000.000,-606.934,-249.512,0.000
1729906381.160,-912.109,-1000.000,-561.523,-809.082,0.000
1729906381.164,552.246,197.754,-239.746,235.840,0.000
1729906381.168,178.711,270.508,-159.180,-1000.000,0.000
1729906381.172,-1000.000,-1000.000,-506.348,-357.422,0.000
1729906381.175,-1000.000,-1000.000,-497.559,-846.680,0.000
1729906381.179,-64.453,-124.023,-355.957,523.926,0.000
1729906381.183,241.211,240.723,-342.773,-1000.000,0.000
1729906381.187,-1000.000,-1000.000,-547.852,-863.770,0.000
1729906381.191,-1000.000,-1000.000,-412.598,682.129,0.000
1729906381.195,-363.281,-765.137,-413.574,-939.453,0.000
1729906381.199,111.328,-459.473,-441.895,-381.348,0.000
1729906381.203,-1000.000,-956.055,-482.910,-1000.000,0.000
1729906381.207,-1000.000,-1000.000,-384.277,8.789,0.000
1729906381.211,-958.008,-972.168,-365.234,-776.367,0.000
1729906381.215,-1000.000,-1000.000,-523.438,127.441,0.000
1729906381.218,-1000.000,-1000.000,-505.859,-1000.000,0.000
1729906381.222,-1000.000,-1000.000,-322.754,-167.969,0.000
1729906381.226,-1000.000,-1000.000,-272.461,-821.777,0.000
1729906381.230,-1000.000,-1000.000,-454.102,240.234,0.000
1729906381.234,-1000.000,-1000.000,-501.953,-1000.000,0.000
1729906381.238,-1000.000,-993.164,-320.312,-498.047,0.000
1729906381.242,-1000.000,-1000.000,-189.453,-925.293,0.000
1729906381.246,-1000.000,-946.289,-389.648,656.738,0.000
1729906381.250,-1000.000,-784.180,-494.629,-937.012,0.000
1729906381.254,-1000.000,-774.902,-328.125,-987.305,0.000
1729906381.258,-1000.000,-772.461,-127.441,486.816,0.000
1729906381.261,-1000.000,-607.910,-209.961,-831.543,0.000
1729906381.265,-1000.000,-525.391,-374.512,-166.992,0.000
1729906381.269,-1000.000,-644.531,-363.770,-1000.000,0.000
1729906381.273,-1000.000,-808.594,-282.227,-69.824,0.000
1729906381.277,-1000.000,-666.992,-303.711,-781.738,0.000
1729906381.281,-1000.000,-343.262,-379.883,212.402,0.000
1729906381.285,-1000.000,-356.445,-378.418,-1000.000,0.000
1729906381.289,-1000.000,-482.910,-234.375,-271.973,0.000
